,Year,Month,Day,Hour,Consumption
0,2020,1,1,1,15417.0
315,2020,1,1,2,14891.0
630,2020,1,1,3,14506.0
945,2020,1,1,4,14226.0
1260,2020,1,1,5,14211.0
1575,2020,1,1,6,14404.0
1890,2020,1,1,7,14789.0
2205,2020,1,1,8,15135.0
2520,2020,1,1,9,15476.0
2835,2020,1,1,10,15945.0
3150,2020,1,1,11,16280.0
3465,2020,1,1,12,16675.0
3780,2020,1,1,13,17147.0
4095,2020,1,1,14,17331.0
4410,2020,1,1,15,17429.0
4725,2020,1,1,16,17569.0
5040,2020,1,1,17,18263.0
5355,2020,1,1,18,19149.0
5670,2020,1,1,19,19052.0
5985,2020,1,1,20,18766.0
6300,2020,1,1,21,18344.0
6615,2020,1,1,22,17726.0
6930,2020,1,1,23,16786.0
7245,2020,1,1,24,15799.0
1,2020,1,2,1,15082.0
316,2020,1,2,2,14666.0
631,2020,1,2,3,14481.0
946,2020,1,2,4,14400.0
1261,2020,1,2,5,14661.0
1576,2020,1,2,6,15458.0
1891,2020,1,2,7,16907.0
2206,2020,1,2,8,18067.0
2521,2020,1,2,9,18467.0
2836,2020,1,2,10,18503.0
3151,2020,1,2,11,18299.0
3466,2020,1,2,12,18023.0
3781,2020,1,2,13,17835.0
4096,2020,1,2,14,18061.0
4411,2020,1,2,15,18219.0
4726,2020,1,2,16,18421.0
5041,2020,1,2,17,19099.0
5356,2020,1,2,18,19989.0
5671,2020,1,2,19,19837.0
5986,2020,1,2,20,19395.0
6301,2020,1,2,21,18766.0
6616,2020,1,2,22,17930.0
6931,2020,1,2,23,16783.0
7246,2020,1,2,24,15636.0
2,2020,1,3,1,14772.0
317,2020,1,3,2,14219.0
632,2020,1,3,3,13922.0
947,2020,1,3,4,13810.0
1262,2020,1,3,5,13997.0
1577,2020,1,3,6,14742.0
1892,2020,1,3,7,16154.0
2207,2020,1,3,8,17387.0
2522,2020,1,3,9,17981.0
2837,2020,1,3,10,18406.0
3152,2020,1,3,11,18701.0
3467,2020,1,3,12,18732.0
3782,2020,1,3,13,18654.0
4097,2020,1,3,14,18647.0
4412,2020,1,3,15,18594.0
4727,2020,1,3,16,18592.0
5042,2020,1,3,17,19072.0
5357,2020,1,3,18,19572.0
5672,2020,1,3,19,19247.0
5987,2020,1,3,20,18754.0
6302,2020,1,3,21,18224.0
6617,2020,1,3,22,17457.0
6932,2020,1,3,23,16458.0
7247,2020,1,3,24,15387.0
3,2020,1,4,1,14600.0
318,2020,1,4,2,14026.0
633,2020,1,4,3,13701.0
948,2020,1,4,4,13538.0
1263,2020,1,4,5,13563.0
1578,2020,1,4,6,13860.0
1893,2020,1,4,7,14432.0
2208,2020,1,4,8,15192.0
2523,2020,1,4,9,15930.0
2838,2020,1,4,10,16713.0
3153,2020,1,4,11,17238.0
3468,2020,1,4,12,17504.0
3783,2020,1,4,13,17514.0
4098,2020,1,4,14,17439.0
4413,2020,1,4,15,17306.0
4728,2020,1,4,16,17357.0
5043,2020,1,4,17,17894.0
5358,2020,1,4,18,18489.0
5673,2020,1,4,19,18396.0
5988,2020,1,4,20,18040.0
6303,2020,1,4,21,17735.0
6618,2020,1,4,22,17225.0
6933,2020,1,4,23,16491.0
7248,2020,1,4,24,15696.0
4,2020,1,5,1,14755.0
319,2020,1,5,2,14212.0
634,2020,1,5,3,14073.0
949,2020,1,5,4,13961.0
1264,2020,1,5,5,13992.0
1579,2020,1,5,6,14252.0
1894,2020,1,5,7,14712.0
2209,2020,1,5,8,15301.0
2524,2020,1,5,9,15958.0
2839,2020,1,5,10,16567.0
3154,2020,1,5,11,16811.0
3469,2020,1,5,12,16957.0
3784,2020,1,5,13,17078.0
4099,2020,1,5,14,17103.0
4414,2020,1,5,15,17226.0
4729,2020,1,5,16,17600.0
5044,2020,1,5,17,18444.0
5359,2020,1,5,18,19519.0
5674,2020,1,5,19,19436.0
5989,2020,1,5,20,19118.0
6304,2020,1,5,21,18669.0
6619,2020,1,5,22,17935.0
6934,2020,1,5,23,16924.0
7249,2020,1,5,24,15937.0
5,2020,1,6,1,15244.0
320,2020,1,6,2,14855.0
635,2020,1,6,3,14607.0
950,2020,1,6,4,14552.0
1265,2020,1,6,5,14841.0
1580,2020,1,6,6,15797.0
1895,2020,1,6,7,17456.0
2210,2020,1,6,8,18741.0
2525,2020,1,6,9,19182.0
2840,2020,1,6,10,19544.0
3155,2020,1,6,11,19602.0
3470,2020,1,6,12,19291.0
3785,2020,1,6,13,18943.0
4100,2020,1,6,14,18971.0
4415,2020,1,6,15,18851.0
4730,2020,1,6,16,19012.0
5045,2020,1,6,17,19667.0
5360,2020,1,6,18,20631.0
5675,2020,1,6,19,20527.0
5990,2020,1,6,20,20151.0
6305,2020,1,6,21,19532.0
6620,2020,1,6,22,18665.0
6935,2020,1,6,23,17440.0
7250,2020,1,6,24,16252.0
6,2020,1,7,1,15400.0
321,2020,1,7,2,14958.0
636,2020,1,7,3,14739.0
951,2020,1,7,4,14719.0
1266,2020,1,7,5,14979.0
1581,2020,1,7,6,15940.0
1896,2020,1,7,7,17625.0
2211,2020,1,7,8,18904.0
2526,2020,1,7,9,19197.0
2841,2020,1,7,10,19170.0
3156,2020,1,7,11,19076.0
3471,2020,1,7,12,19016.0
3786,2020,1,7,13,19014.0
4101,2020,1,7,14,19013.0
4416,2020,1,7,15,18949.0
4731,2020,1,7,16,19187.0
5046,2020,1,7,17,19898.0
5361,2020,1,7,18,20609.0
5676,2020,1,7,19,20501.0
5991,2020,1,7,20,20105.0
6306,2020,1,7,21,19513.0
6621,2020,1,7,22,18594.0
6936,2020,1,7,23,17382.0
7251,2020,1,7,24,16242.0
7,2020,1,8,1,15448.0
322,2020,1,8,2,15022.0
637,2020,1,8,3,14762.0
952,2020,1,8,4,14736.0
1267,2020,1,8,5,14998.0
1582,2020,1,8,6,15897.0
1897,2020,1,8,7,17562.0
2212,2020,1,8,8,18813.0
2527,2020,1,8,9,19110.0
2842,2020,1,8,10,19258.0
3157,2020,1,8,11,19200.0
3472,2020,1,8,12,19160.0
3787,2020,1,8,13,19133.0
4102,2020,1,8,14,19035.0
4417,2020,1,8,15,19165.0
4732,2020,1,8,16,19588.0
5047,2020,1,8,17,20380.0
5362,2020,1,8,18,21466.0
5677,2020,1,8,19,21502.0
5992,2020,1,8,20,21182.0
6307,2020,1,8,21,20599.0
6622,2020,1,8,22,19767.0
6937,2020,1,8,23,18534.0
7252,2020,1,8,24,17458.0
8,2020,1,9,1,16709.0
323,2020,1,9,2,16295.0
638,2020,1,9,3,16051.0
953,2020,1,9,4,16018.0
1268,2020,1,9,5,16302.0
1583,2020,1,9,6,17212.0
1898,2020,1,9,7,18966.0
2213,2020,1,9,8,20171.0
2528,2020,1,9,9,20345.0
2843,2020,1,9,10,20143.0
3158,2020,1,9,11,19899.0
3473,2020,1,9,12,19645.0
3788,2020,1,9,13,19518.0
4103,2020,1,9,14,19486.0
4418,2020,1,9,15,19605.0
4733,2020,1,9,16,19974.0
5048,2020,1,9,17,20755.0
5363,2020,1,9,18,21644.0
5678,2020,1,9,19,21581.0
5993,2020,1,9,20,21180.0
6308,2020,1,9,21,20549.0
6623,2020,1,9,22,19580.0
6938,2020,1,9,23,18357.0
7253,2020,1,9,24,17136.0
9,2020,1,10,1,16242.0
324,2020,1,10,2,15717.0
639,2020,1,10,3,15366.0
954,2020,1,10,4,15222.0
1269,2020,1,10,5,15401.0
1584,2020,1,10,6,16222.0
1899,2020,1,10,7,17752.0
2214,2020,1,10,8,18948.0
2529,2020,1,10,9,19246.0
2844,2020,1,10,10,19504.0
3159,2020,1,10,11,19651.0
3474,2020,1,10,12,19625.0
3789,2020,1,10,13,19329.0
4104,2020,1,10,14,18989.0
4419,2020,1,10,15,18807.0
4734,2020,1,10,16,18801.0
5049,2020,1,10,17,19239.0
5364,2020,1,10,18,19774.0
5679,2020,1,10,19,19433.0
5994,2020,1,10,20,18897.0
6309,2020,1,10,21,18287.0
6624,2020,1,10,22,17572.0
6939,2020,1,10,23,16594.0
7254,2020,1,10,24,15544.0
10,2020,1,11,1,14723.0
325,2020,1,11,2,14151.0
640,2020,1,11,3,13760.0
955,2020,1,11,4,13609.0
1270,2020,1,11,5,13617.0
1585,2020,1,11,6,13856.0
1900,2020,1,11,7,14414.0
2215,2020,1,11,8,15051.0
2530,2020,1,11,9,15608.0
2845,2020,1,11,10,16066.0
3160,2020,1,11,11,16253.0
3475,2020,1,11,12,16244.0
3790,2020,1,11,13,16201.0
4105,2020,1,11,14,16195.0
4420,2020,1,11,15,16339.0
4735,2020,1,11,16,16440.0
5050,2020,1,11,17,16886.0
5365,2020,1,11,18,17592.0
5680,2020,1,11,19,17488.0
5995,2020,1,11,20,17147.0
6310,2020,1,11,21,16723.0
6625,2020,1,11,22,16139.0
6940,2020,1,11,23,15417.0
7255,2020,1,11,24,14606.0
11,2020,1,12,1,13845.0
326,2020,1,12,2,13360.0
641,2020,1,12,3,13023.0
956,2020,1,12,4,12835.0
1271,2020,1,12,5,12863.0
1586,2020,1,12,6,13054.0
1901,2020,1,12,7,13462.0
2216,2020,1,12,8,14004.0
2531,2020,1,12,9,14586.0
2846,2020,1,12,10,15143.0
3161,2020,1,12,11,15479.0
3476,2020,1,12,12,15629.0
3791,2020,1,12,13,15747.0
4106,2020,1,12,14,15821.0
4421,2020,1,12,15,15953.0
4736,2020,1,12,16,16281.0
5051,2020,1,12,17,16966.0
5366,2020,1,12,18,18006.0
5681,2020,1,12,19,18050.0
5996,2020,1,12,20,17785.0
6311,2020,1,12,21,17391.0
6626,2020,1,12,22,16761.0
6941,2020,1,12,23,15841.0
7256,2020,1,12,24,14936.0
12,2020,1,13,1,14334.0
327,2020,1,13,2,13987.0
642,2020,1,13,3,13831.0
957,2020,1,13,4,13833.0
1272,2020,1,13,5,14150.0
1587,2020,1,13,6,15172.0
1902,2020,1,13,7,16929.0
2217,2020,1,13,8,18182.0
2532,2020,1,13,9,18488.0
2847,2020,1,13,10,18803.0
3162,2020,1,13,11,19013.0
3477,2020,1,13,12,19070.0
3792,2020,1,13,13,18985.0
4107,2020,1,13,14,18924.0
4422,2020,1,13,15,18842.0
4737,2020,1,13,16,18944.0
5052,2020,1,13,17,19463.0
5367,2020,1,13,18,20064.0
5682,2020,1,13,19,19875.0
5997,2020,1,13,20,19473.0
6312,2020,1,13,21,18838.0
6627,2020,1,13,22,17966.0
6942,2020,1,13,23,16836.0
7257,2020,1,13,24,15731.0
13,2020,1,14,1,14887.0
328,2020,1,14,2,14356.0
